time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-06T21:19:19.640Z,19.0573,-67.289,10,2.91,md,13,287,0.616,0.43,pr,pr2019340015,2019-12-06T23:21:21.383Z,"65km NNW of San Antonio, Puerto Rico",earthquake,1.94,31.61,0.41,12,reviewed,pr,pr
2019-12-06T21:19:04.928Z,-24.2324,-67.2308,178.27,4.4,mb,,74,1.543,1.02,us,us60006n9q,2019-12-06T22:20:04.040Z,"92km W of San Antonio de los Cobres, Argentina",earthquake,6.9,15.4,0.239,5,reviewed,us,us
2019-12-06T20:48:18.282Z,59.073,-154.0445,110.8,3.5,ml,,,,0.63,ak,ak019fmmwzs0,2019-12-06T22:51:44.040Z,"90km SSE of Old Iliamna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-12-06T20:43:09.980Z,19.737,-64.41,38,3.51,md,16,321,2.148,0.36,pr,pr2019340013,2019-12-06T22:38:48.040Z,"136km NNE of Road Town, British Virgin Islands",earthquake,3.01,26.2,0.28,6,reviewed,pr,pr
2019-12-06T20:30:17.875Z,18.6131,145.6624,159.87,4.6,mb,,79,3.355,1.03,us,us60006n8n,2019-12-06T20:47:21.040Z,"17km S of Agrihan, Northern Mariana Islands",earthquake,8.6,7.2,0.053,116,reviewed,us,us
2019-12-06T20:07:17.210Z,19.4073,-64.652,16,3.62,md,16,223,1.7415,0.4,pr,pr2019340014,2019-12-06T22:35:14.040Z,"94km N of Road Town, British Virgin Islands",earthquake,3.1,6.29,0.28,15,reviewed,pr,pr
2019-12-06T19:32:32.753Z,24.5936,122.7425,95.14,4.5,mb,,52,0.275,0.7,us,us60006n83,2019-12-06T20:27:24.040Z,"29km WNW of Yonakuni, Japan",earthquake,2.7,4.9,0.061,78,reviewed,us,us
2019-12-06T18:04:35.090Z,40.4129982,-124.6443329,19.79,2.95,md,24,258,0.262,0.12,nc,nc73312236,2019-12-07T04:39:41.643Z,"32km WNW of Petrolia, CA",earthquake,2.58,0.47,0.1,7,automatic,nc,nc
2019-12-06T18:04:21.340Z,19.4022,-155.2878,-0.61,2.8,ml,,53,0.016,0.42,us,us60006n5h,2019-12-07T02:07:01.629Z,"6km WSW of Volcano, Hawaii",earthquake,0.8,2.6,2.76,33,reviewed,hv,hv
2019-12-06T18:04:03.220Z,19.5161667,-155.6621667,4.11,2.84,ml,17,70,0.03019,0.12,hv,hv71265251,2019-12-07T02:45:05.010Z,"22km ENE of Honaunau-Napoopoo, Hawaii",earthquake,0.37,0.48,0.209,18,reviewed,hv,hv
2019-12-06T16:30:00.120Z,36.6901665,-121.315834,-0.06,2.73,md,28,106,0.04804,0.09,nc,nc73312226,2019-12-06T17:33:50.401Z,"11km S of Tres Pinos, CA",earthquake,0.42,1.06,0.17,33,automatic,nc,nc
2019-12-06T15:42:44.671Z,-15.041,-175.0727,10,5.7,mww,,44,3.384,0.6,us,us60006n2z,2019-12-06T23:45:29.705Z,"173km NW of Hihifo, Tonga",earthquake,6.6,1.5,0.08,15,reviewed,us,us
2019-12-06T13:10:07.890Z,19.3186,-67.3893,29,2.73,md,6,309,0.8954,0.39,pr,pr2019340011,2019-12-06T17:43:08.517Z,"96km NNW of San Antonio, Puerto Rico",earthquake,2.69,23.88,0.4,4,reviewed,pr,pr
2019-12-06T13:04:46.931Z,-15.2838,-175.1193,10,6,mww,,50,3.512,0.81,us,us60006n19,2019-12-07T13:11:48.228Z,"164km WNW of Hihifo, Tonga",earthquake,8.4,1.9,0.08,15,reviewed,us,us
2019-12-06T11:46:21.137Z,66.3176,-157.3216,6.8,2.8,ml,,,,0.79,ak,ak019fmhjubn,2019-12-06T18:43:30.490Z,"68km SSW of Kobuk, Alaska",earthquake,,1.8,,,reviewed,ak,ak
2019-12-06T11:45:51.954Z,66.279,-157.4342,0.9,3.2,ml,,,,0.76,ak,ak019fmhjiro,2019-12-06T17:34:39.767Z,"74km SSW of Kobuk, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-12-06T11:29:36.820Z,66.2429,-157.2432,7,2.9,ml,,,,0.78,ak,ak019fmhg26d,2019-12-06T11:43:02.040Z,"75km SSW of Kobuk, Alaska",earthquake,,0.6,,,automatic,ak,ak
2019-12-06T10:27:55.526Z,-15.6588,-174.216,134.13,4.6,mb,,106,2.93,0.58,us,us60006n0x,2019-12-06T12:48:58.040Z,"59km WNW of Hihifo, Tonga",earthquake,11.6,7.6,0.095,33,reviewed,us,us
2019-12-06T10:24:39.139Z,-58.5067,-24.3445,10,5.1,mb,,88,7.952,0.54,us,us60006my0,2019-12-06T10:41:21.040Z,"138km ENE of Bristol Island, South Sandwich Islands",earthquake,11.9,1.9,0.069,68,reviewed,us,us
2019-12-06T10:23:26.441Z,34.9037,23.7024,10,4,mb,,203,1.046,0.83,us,us60006mxu,2019-12-06T10:52:10.040Z,"36km S of Palaiochora, Greece",earthquake,4.3,1.9,0.173,9,reviewed,us,us
2019-12-06T10:17:36.690Z,19.782,-64.5981,59,3.71,md,15,316,2.0625,0.34,pr,pr2019340007,2019-12-06T12:49:46.353Z,"145km N of Road Town, British Virgin Islands",earthquake,3.8,18.38,0.27,12,reviewed,pr,pr
2019-12-06T09:44:56.360Z,36.4674,71.1097,153.87,4,mb,,75,1.148,0.66,us,us60006mx6,2019-12-06T10:26:23.040Z,"44km WSW of Ashkasham, Afghanistan",earthquake,7.6,8.9,0.211,6,reviewed,us,us
2019-12-06T09:28:23.348Z,-28.2033,-177.2193,66.31,4.9,mb,,127,1.21,0.83,us,us60006mwz,2019-12-06T09:47:37.040Z,"135km NNE of Raoul Island, New Zealand",earthquake,9.9,7.7,0.108,27,reviewed,us,us
2019-12-06T08:45:39.795Z,35.1067,23.8794,3.12,4.5,mb,,70,0.847,0.87,us,us60006mwg,2019-12-06T11:52:39.121Z,"22km SE of Palaiochora, Greece",earthquake,6.6,5.6,0.118,21,reviewed,us,us
2019-12-06T08:40:29.360Z,36.7618332,-121.355835,8.44,2.51,md,37,62,0.07342,0.29,nc,nc73312171,2019-12-06T14:13:35.550Z,"4km SW of Tres Pinos, CA",earthquake,0.43,1.54,0.15,37,automatic,nc,nc
2019-12-06T06:59:01.020Z,19.5686,-64.424,66,3.67,md,6,342,2.0162,0.18,pr,pr2019340008,2019-12-07T06:52:01.040Z,"108km NNE of Road Town, British Virgin Islands",earthquake,4.24,13.17,0.14,3,reviewed,pr,pr
2019-12-06T06:38:39.941Z,59.5872,-152.8756,85,2.8,ml,,,,0.61,ak,ak019fmeits8,2019-12-06T07:45:59.040Z,"62km WSW of Anchor Point, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-06T06:12:57.700Z,19.1501,-67.1505,24,2.62,md,9,231,0.6837,0.47,pr,pr2019340006,2019-12-06T11:35:53.845Z,"73km N of Isabela, Puerto Rico",earthquake,2.47,28.85,0.23,5,reviewed,pr,pr
2019-12-06T06:10:14.320Z,19.7816,-64.5821,78,3.73,md,10,316,2.0718,0.51,pr,pr2019340005,2019-12-07T06:49:27.040Z,"163km N of Road Town, British Virgin Islands",earthquake,8.96,30.41,0.11,7,reviewed,pr,pr
2019-12-06T05:58:33.260Z,19.4881,-64.857,66,3.57,md,7,314,1.6719,0.53,pr,pr2019340004,2019-12-07T06:46:42.040Z,"114km N of Road Town, British Virgin Islands",earthquake,8.14,25.94,0.12,6,reviewed,pr,pr
2019-12-06T05:54:43.086Z,-2.6128,68.0772,10,4.8,mb,,75,5.803,1.15,us,us60006mun,2019-12-06T06:14:05.040Z,"Carlsberg Ridge",earthquake,10.3,1.9,0.103,29,reviewed,us,us
